time,height,w,temperature,qv,vapour_pressure,cloud_mass,rain_mass,surface_rain_rate,liquid_water_path,cond_rate,n_droplets,S,Sc,droplet_radius,dr_dt
0.0,0.0,0.0,283.15,0.009999193565409247,1424.0506329113923,8.064345907524112e-07,0.0,0.0,8.064345907524112e-07,1.6128691815048225e-06,100000000.0,0.1604350642481699,0.002296387088233775,1.6417402569926796e-06,1.2834805139853592e-06
0.5,0.0026179908874179934,0.005235981774835987,283.15,0.009997870022908431,1423.937609492683,2.129977091568058e-06,0.0,0.0,2.129977091568058e-06,2.6470850016312934e-06,100000000.0,0.16034296335293452,0.002296387088233775,2.0324061072573223e-06,7.813317005292853e-07
1.0,0.007853954718837573,0.01047192766283916,283.15,0.009996232648586654,1423.7521117423116,3.767351413345901e-06,0.0,0.0,3.767351413345901e-06,3.2747486435556863e-06,100000000.0,0.16019180433590585,0.002296387088233775,2.347681295151892e-06,6.305503757891395e-07
1.5,0.015707855607548907,0.01570780177742267,283.15,0.009994342991634734,1423.5226286120026,5.657008365265728e-06,0.0,0.0,5.657008365265728e-06,3.7793139038396537e-06,100000000.0,0.16000480236778084,0.002296387088233775,2.6202988820419024e-06,5.45235173780021e-07
2.0,0.0261796397237947,0.020943568232491584,283.15,0.009992236197626233,1423.2577858043137,7.763802373766933e-06,0.0,0.0,7.763802373766933e-06,4.213588017002408e-06,100000000.0,0.15978898638943478,0.002296387088233775,2.8642237067777997e-06,4.878496494717949e-07
2.5,0.039269235295139135,0.02617919114268888,283.15,0.00998993614769648,1422.9625085222506,1.0063852303520508e-05,0.0,0.0,1.0063852303520508e-05,4.6000998595071515e-06,100000000.0,0.15954836986649457,0.002296387088233775,3.087039221486298e-06,4.4563102941699657e-07
3.0,0.054976552606959814,0.03141463462364135,283.15,0.009987460605343251,1422.6401432483638,1.2539394656748416e-05,0.0,0.0,1.2539394656748416e-05,4.951084706455815e-06,100000000.0,0.15928567979166947,0.002296387088233775,3.2934320378561256e-06,4.1278563273965576e-07
3.5,0.0733014840030626,0.03664986279220559,283.15,0.009984823552446098,1422.2931790765547,1.5176447553901771e-05,0.0,0.0,1.5176447553901771e-05,5.27410579430671e-06,100000000.0,0.1590029444859859,0.002296387088233775,3.4865472352044694e-06,3.8623039469668744e-07
4.0,0.09424390388641957,0.041884839766713915,283.15,0.009982036432113721,1421.9235751087215,1.796356788627886e-05,0.0,0.0,1.796356788627886e-05,5.5742406647541745e-06,100000000.0,0.1587017603888432,0.002296387088233775,3.668620501026191e-06,3.6414653164344377e-07
4.5,0.11780366872002972,0.0471195296672203,283.15,0.009979108881696324,1421.5329346417864,2.089111830367536e-05,0.0,0.0,2.089111830367536e-05,5.8551008347929985e-06,100000000.0,0.1583834340001115,0.002296387088233775,3.841310408805759e-06,3.453798155591363e-07
