t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,latent_heating_Ks,dT_dt_Ks,ice_active
0.0,273.15,580.5868570382573,-0.05000000000000009,-0.049927860781880086,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
0.5,273.125,580.5337140765147,-0.048361904947645556,-0.04805682362937668,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
1.0,273.1,580.480571114772,-0.046720638073359994,-0.04618174658605272,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
1.5,273.07500000000005,580.4274281530294,-0.045076192601897005,-0.044302620200823345,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
2.0,273.05000000000007,580.3742851912867,-0.043428561742243674,-0.04241943499886467,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
2.5,273.0250000000001,580.3211422295441,-0.041777738687580064,-0.04053218148153647,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
3.0,273.0000000000001,580.2679992678014,-0.04012371661523939,-0.03864085012632445,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
3.5,272.97500000000014,580.2148563060588,-0.0384664886866682,-0.036745431386784086,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
4.0,272.95000000000016,580.1617133443161,-0.03680604804738686,-0.034845915692445974,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
4.5,272.9250000000002,580.1085703825735,-0.03514238782694936,-0.032942293448799224,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
5.0,272.9000000000002,580.0554274208308,-0.033475501138902825,-0.03103455503719229,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
5.5,272.8750000000002,580.0022844590882,-0.031805381080747645,-0.029122690814768194,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
6.0,272.85000000000025,579.9491414973455,-0.030132020733897345,-0.02720669111441706,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
6.5,272.8250000000003,579.8959985356029,-0.02845541316363701,-0.025286546244706092,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
7.0,272.8000000000003,579.8428555738602,-0.026775551419084383,-0.02336224648979899,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
7.5,272.7750000000003,579.7897126121176,-0.02509242853314755,-0.021433782109418882,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
8.0,272.75000000000034,579.7365696503749,-0.023406037522485604,-0.019501143338746772,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
8.5,272.72500000000036,579.6834266886323,-0.021716371387466297,-0.017564320388388302,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
9.0,272.7000000000004,579.6302837268896,-0.020023423112126112,-0.015623303444292715,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
9.5,272.6750000000004,579.577140765147,-0.018327185664129185,-0.01367808266768324,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
10.0,272.65000000000043,579.5239978034043,-0.016627651994724903,-0.011728648195000418,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
10.5,272.62500000000045,579.4708548416617,-0.014924815038707701,-0.009774990137824504,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
11.0,272.6000000000005,579.417711879919,-0.013218667714375226,-0.007817098582829462,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
11.5,272.5750000000005,579.3645689181764,-0.011509202923486941,-0.005854963591678101,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
12.0,272.5500000000005,579.3114259564337,-0.00979641355122187,-0.003888575201002559,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
12.5,272.52500000000055,579.2582829946911,-0.00808029246613735,-0.0019179234222965796,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
13.0,272.50000000000057,579.2051400329484,-0.006360832520127319,5.7001758132928274e-05,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
13.5,272.4750000000006,579.1519970712058,-0.0046380265483796914,0.0020362103792324095,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
14.0,272.4500000000006,579.0988541094631,-0.002911867369334201,0.004019712505278837,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
14.5,272.42500000000064,579.0457111477205,-0.0011823477846409146,0.00600751822593427,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
15.0,272.40000000000066,578.9806221116735,0.0005505394208825461,0.007999637656339197,500003000.0,0.0,1.0153152876538543e-06,1e-06,3.063057530770887e-08,0.0,2.192118340736581e-06,0.0,1.9839900000274587e-07,0.0,0.0004935298507530992,-0.0495064701492469,0
15.5,272.37524676492603,578.8735071009543,0.0022480596635406536,0.009954600339896107,500003000.0,0.0,1.0768360272562206e-06,1e-06,1.230414792047325e-07,0.0,2.6152303690681306e-06,0.0,8.964646564375687e-07,0.0,0.002230011583178031,-0.04776998841682197,0
16.0,272.35136177071763,578.7177330579134,0.0038122716349914456,0.011767489862627404,500003000.0,0.0,1.1750887867873963e-06,1e-06,1.9650551906235116e-07,0.0,3.3983903791155314e-06,0.0,1.7048987436523481e-06,0.0,0.004241041650876488,-0.04575895834912352,0
16.5,272.3284822915431,578.5075681450514,0.005220861398251658,0.013414306844443311,500003000.0,0.0,1.298257023910131e-06,1e-06,2.463364742454695e-07,0.0,4.5829304042446455e-06,0.0,2.6087505710397892e-06,0.0,0.006489429281193506,-0.0435105707188065,0
17.0,272.3067270061837,578.2397314208655,0.006454357148335643,0.01487408215120276,500003000.0,0.0,1.435933501702853e-06,1e-06,2.7535295558544425e-07,0.0,6.201035302379452e-06,0.0,3.5673101773341025e-06,0.0,0.008873905913766423,-0.04112609408623358,0
17.5,272.28616395914054,577.9136027417713,0.007501235151802968,0.016134354279885348,500003000.0,0.0,1.580454517567323e-06,1e-06,2.8904203172893983e-07,0.0,8.268128658959457e-06,0.0,4.536359660372413e-06,0.0,0.011284476767095555,-0.03871552323290445,0
18.0,272.2668061975241,577.5309413412274,0.008358681982517033,0.017191996538132994,500003000.0,0.0,1.7266314092707422e-06,1e-06,2.923537834068387e-07,0.0,1.0781026912933483e-05,0.0,5.476340792974934e-06,0.0,0.013622738290982423,-0.03637726170901758,0
18.5,272.24861756666957,577.0954539819027,0.00903173790793783,0.018052307882962842,500003000.0,0.0,1.8710787361121092e-06,1e-06,2.8889465368273373e-07,0.0,1.3719472362977677e-05,0.0,6.354861728450738e-06,0.0,0.015808113752365023,-0.03419188624763498,0
19.0,272.23152162354575,576.6122925989847,0.009531924075331995,0.018727547514518942,500003000.0,0.0,2.0116395216300426e-06,1e-06,2.811215710358667e-07,0.0,1.7049501975944727e-05,0.0,7.147875247011825e-06,0.0,0.01778078419654683,-0.032219215803453174,0
19.5,272.215412015644,576.0875293614879,0.00987561596940013,0.019235194539419853,500003000.0,0.0,2.1469864084441233e-06,1e-06,2.706937736281612e-07,0.0,2.0727604091349873e-05,0.0,7.84005899761247e-06,0.0,0.019502634322419082,-0.03049736567758092,0
20.0,272.20016333280523,575.527660084074,0.01008232464859508,0.019596106288847694,500003000.0,0.0,2.276359003455447e-06,1e-06,2.5874519002264736e-07,0.0,2.4704921933562362e-05,0.0,8.424347447600709e-06,0.0,0.020956088178111218,-0.029043911821888785,0
20.5,272.1856413768943,574.9391774821777,0.010173058435597909,0.019832761061492836,500003000.0,0.0,2.399389743368155e-06,1e-06,2.460614798254159e-07,0.0,2.8931011208195147e-05,0.0,8.900772519858902e-06,0.0,0.02214122517377836,-0.027858774826221643,0
21.0,272.1717119894812,574.3282384811196,0.01016890677413029,0.01996773791880549,500003000.0,0.0,2.5159849541748314e-06,1e-06,2.3319042161335337e-07,0.0,3.335687353123912e-05,0.0,9.27490053890733e-06,0.0,0.02307189188782918,-0.026928108112170824,0
21.5,272.1582479354251,573.7004325525091,0.010089930268006087,0.020022524220711158,500003000.0,0.0,2.6262407737148013e-06,1e-06,2.2051163907993987e-07,0.0,3.7937161944578935e-05,0.0,9.556152481716845e-06,0.0,0.02377152358636031,-0.026228476413639693,0
22.0,272.1451336972183,573.0606447850777,0.00995438290036034,0.02001667922873829,500003000.0,0.0,2.7303819957674904e-06,1e-06,2.0828244410537837e-07,0.0,4.263158248649811e-05,0.0,9.756228480262812e-06,0.0,0.024269225075280627,-0.025730774924719375,0
22.5,272.13226830975594,572.4129991460321,0.009778247482249588,0.019967333741695837,500003000.0,0.0,2.8287167716661364e-06,1e-06,1.9666955179729254e-07,0.0,4.740559650540131e-05,0.0,9.887774036750716e-06,0.0,0.024596452827738098,-0.025403547172261905,0
23.0,272.1195665361698,571.7608636824405,0.009575037215897312,0.01988897539006993,500003000.0,0.0,2.9216028337434964e-06,1e-06,1.8577212415472013e-07,0.0,5.223056822971631e-05,0.0,9.963349734374935e-06,0.0,0.02478445207555954,-0.025215547924440463,0
23.5,272.1069587622076,571.1068991390882,0.009355803410476114,0.01979345534074121,500003000.0,0.0,3.0094224190676314e-06,1e-06,1.7563917064826974e-07,0.0,5.708351076198507e-05,0.0,9.994709042241625e-06,0.0,0.024862460304083647,-0.025137539695916356,0
24.0,272.09438999235965,570.4531343961504,0.00912928815372541,0.019690150780451117,500003000.0,0.0,3.0925639258645523e-06,1e-06,1.662830135938418e-07,0.0,6.194657169723266e-05,0.0,9.992352174977144e-06,0.0,0.0248565974501919,-0.025143402549808104,0
24.5,272.08181829108474,569.8010551798328,0.008902166964417937,0.019586224188145634,500003000.0,0.0,3.171408837917683e-06,1e-06,1.5768982410626198e-07,0.0,6.680637634805299e-05,0.0,9.965305270213783e-06,0.0,0.024789316592571598,-0.025210683407428405,0
25.0,272.06921294938104,569.151695867167,0.00867933648924885,0.0194869311605495,500003000.0,0.0,3.246322770828552e-06,1e-06,1.4982786582173718e-07,0.0,7.165331928815245e-05,0.0,9.921068851617016e-06,0.0,0.024679275750291087,-0.025320724249708916,0
25.5,272.0565525872562,568.5057273720516,0.008464213445086285,0.019395940498299055,500003000.0,0.0,3.3176497156915916e-06,1e-06,1.426538897260796e-07,0.0,7.648086842076833e-05,0.0,9.865682912437986e-06,0.0,0.024541499782184045,-0.025458500217815958,0
26.0,272.0438233371473,567.8635367838548,0.008259021490317521,0.019315641505701493,500003000.0,0.0,3.385708724794515e-06,1e-06,1.3611801820584662e-07,0.0,8.128492277059354e-05,0.0,9.803863973756342e-06,0.0,0.024387721327752094,-0.02561227867224791,0
26.5,272.03101719781114,567.2252965295138,0.008065051598070905,0.01924742299608052,500003000.0,0.0,3.450792421989733e-06,1e-06,1.3016739439043547e-07,0.0,8.60632468399751e-05,0.0,9.739179200597338e-06,0.0,0.024226813931834176,-0.025773186068165827,0
