w1_ms,saturation_time_s,activation_time_s,sat_to_activation_s,fraction_at_activation,SSmax_percent,max_Nc_m3,qc_1e-7_time_s,qcmax_kgkg,final_temperature_K,max_height_m
0.1,,,,0.0,-2.458291219912725,0.0,,0.0,282.77715006567695,38.19716452543672
0.3,364.0,376.5,12.5,0.025467763835285893,1.7973438363772711,50000000.0,387.0,0.00018705886672812564,282.03145019703345,114.59149357631006
0.5,261.0,268.0,7.0,0.02115777672023793,3.8820194023802777,50000000.0,275.5,0.0005354131157086722,281.2857503283854,190.98582262718367
1.0,176.5,181.0,4.5,0.035395640034412985,7.224622874080241,50000000.0,187.0,0.0013107165249407026,279.42150065677106,381.97164525436733
2.0,122.5,125.5,3.0,0.06615967923309037,11.626894021905265,50000000.0,130.5,0.002589797436366166,275.6930013135413,763.9432905087347
5.0,77.0,78.5,1.5,0.1191627395846182,19.542095029114957,50000000.0,82.0,0.004728174797558592,264.507503283854,1909.8582262718367
