dt_s,saturation_time_s,first_activation_time_s,sat_to_first_activation_s,fraction_at_first_activation,t_1pct_s,t_10pct_s,t_50pct_s,t_90pct_s,SSmax_percent,max_Nc_m3,qc_1e-7_time_s,qcmax_kgkg
2.0,742.0,776.0,34.0,0.024712013574489326,776.0,780.0,794.0,808.0,1.3658194528739804,50000000.0,794.0,0.0009070886556616267
1.0,742.0,777.0,35.0,0.0247120129271098,777.0,780.0,794.0,808.0,1.3643893070389108,50000000.0,795.0,0.0009070848048612503
0.5,742.5,777.0,34.5,0.010072752622339228,777.0,780.5,794.0,808.5,1.363463556497426,50000000.0,795.5,0.00090708274285406
0.25,742.75,777.0,34.25,0.002753299975215215,777.25,780.5,794.25,808.5,1.3630013603337472,50000000.0,795.5,0.0009070816985451927
0.1,742.9000000001004,777.1000000001081,34.200000000007776,0.0012894184721700323,777.4000000001082,780.5000000001089,794.300000000112,808.6000000001153,1.36276644914125,50000000.0,795.7000000001124,0.0009070810924850985
