sedimentation,time_s,frozen_400m_kgkg,frozen_path,ice_400m_kgkg,snow_400m_kgkg
ON,3600,1.443227830577598e-07,0.00020718335872516036,5.587503437709529e-08,8.844774868066452e-08
OFF,3600,6.296570518316003e-07,0.0009938201401382685,6.839146493575754e-08,5.612656082121248e-07
