time,height,w,temperature,qv,vapour_pressure,cloud_mass,rain_mass,surface_rain_rate,liquid_water_path,cond_rate,n_droplets,activated_fraction,S,Sc,droplet_radius,dr_dt
0.0,0.0,0.0,283.15,0.008619998979946078,1230.2178808157053,1.020053921108803e-09,0.0,0.0,1.020053921108803e-09,2.040107842217606e-09,8169637.798186137,0.08169637798186137,0.0024839935957867874,0.002296387088233775,1.009935974383147e-06,1.9871948766294297e-08
0.5,0.0026179908874179934,0.005235981774835987,283.15,0.00861999795017842,1230.2177372269123,2.0498215792949723e-09,0.0,0.0,2.0498215792949723e-09,2.059535316372339e-09,8164542.485267537,0.08164542485267537,0.0024838765876788195,0.002296387088233775,1.0197737330160977e-06,1.9675517265901395e-08
1.0,0.007853954718837573,0.01047192766283916,283.15,0.008619996910812375,1230.2175922707563,3.0891876245822583e-09,0.0,0.0,3.0891876245822583e-09,2.078732090574572e-09,8159398.650858293,0.08159398650858293,0.0024837584653296055,0.002296387088233775,1.0295161234500369e-06,1.9484780867878248e-08
1.5,0.015707855607548907,0.01570780177742267,283.15,0.008619995861960394,1230.2174459634743,4.1380396061598194e-09,0.0,0.0,4.1380396061598194e-09,2.0977039631551222e-09,8154206.8711350085,0.08154206871135009,0.0024836392419703905,0.002296387088233775,1.0391658576713812e-06,1.9299468442688637e-08
2.0,0.0261796397237947,0.020943568232491584,283.15,0.008619994803732167,1230.217298320896,5.1962678342111686e-09,0.0,0.0,5.1962678342111686e-09,2.116456456102698e-09,8148967.707815581,0.08148967707815581,0.0024835189305003917,0.002296387088233775,1.048725520980819e-06,1.91193266188756e-08
2.5,0.039269235295139135,0.02617919114268888,283.15,0.00861999373623475,1230.2171493584613,6.26376525082271e-09,0.0,0.0,6.26376525082271e-09,2.1349948332230825e-09,8143681.708804744,0.08143681708804744,0.0024833975435016226,0.002296387088233775,1.058197580137648e-06,1.8944118313657732e-08
3.0,0.054976552606959814,0.03141463462364135,283.15,0.008619992659572692,1230.2169990912403,7.340427309228528e-09,0.0,0.0,7.340427309228528e-09,2.1533241168116355e-09,8138349.408863703,0.08138349408863703,0.0024832750932542707,0.002296387088233775,1.0675843908424362e-06,1.8773621409576477e-08
3.5,0.0733014840030626,0.03664986279220559,283.15,0.00861999157384814,1230.2168475339502,8.42615186071385e-09,0.0,0.0,8.42615186071385e-09,2.1714491029706464e-09,8132971.330239492,0.08132971330239491,0.0024831515917511492,0.002296387088233775,1.0768882046225972e-06,1.860762756032191e-08
4.0,0.09424390388641957,0.041884839766713915,283.15,0.008619990479160951,1230.2166947009691,9.52083904855015e-09,0.0,0.0,9.52083904855015e-09,2.189374375672599e-09,8127547.983149038,0.08127547983149037,0.002483027050708814,0.002296387088233775,1.0861111751781304e-06,1.8445941111066457e-08
4.5,0.11780366872002972,0.0471195296672203,283.15,0.008619989375608792,1230.2165406063546,1.0624391208436956e-08,0.0,0.0,1.0624391208436956e-08,2.207104319773614e-09,8122079.866424743,0.08122079866424743,0.0024829014815823877,0.002296387088233775,1.0952553642384269e-06,1.8288378120592844e-08
5.0,0.14398061702790288,0.0523538966157463,283.15,0.008619988263287226,1230.2163852638537,1.1736712774915955e-08,0.0,0.0,1.1736712774915955e-08,2.2246431329579966e-09,8116567.467893571,0.0811656746789357,0.002482774895574266,0.002296387088233775,1.1043227469754223e-06,1.8134765473990695e-08
5.5,0.17277456939616634,0.057587904736526925,283.15,0.008619987142289808,1230.2162286869188,1.2857710193330498e-08,0.0,0.0,1.2857710193330498e-08,2.2419948368290847e-09,8111011.264917727,0.08111011264917727,0.0024826473036465325,0.002296387088233775,1.113315217013538e-06,1.7984940076231436e-08
6.0,0.20418532847429463,0.06282151815625658,283.15,0.008619986012708164,1230.2160708887195,1.3987291836905338e-08,0.0,0.0,1.3987291836905338e-08,2.2591632871496802e-09,8105411.72482227,0.0810541172482227,0.00248251871653078,0.002296387088233775,1.1222345910725404e-06,1.7838748118004694e-08
6.5,0.2382126789764621,0.06805470100433489,283.15,0.008619984874632072,1230.2159118821537,1.512536792857078e-08,0.0,0.0,1.512536792857078e-08,2.276152183330884e-09,8099769.305298476,0.08099769305298475,0.0024823891447373716,0.002296387088233775,1.1310826132756874e-06,1.76960444062941e-08
7.0,0.27485638768301834,0.07328741741311255,283.15,0.008619983728149533,1230.2157516798586,1.627185046718836e-08,0.0,0.0,1.627185046718836e-08,2.292965077235162e-09,8094084.454783119,0.0809408445478312,0.0024822585985641516,0.002296387088233775,1.1398609591522114e-06,1.7556691753047975e-08
7.5,0.31411620344208696,0.07851963151813722,283.15,0.008619982573346842,1230.2155902942218,1.7426653157870874e-08,0.0,0.0,1.7426653157870874e-08,2.3096053813650266e-09,8088357.612853855,0.08088357612853855,0.0024821270881055244,0.002296387088233775,1.1485712393602523e-06,1.742056041608193e-08
8.0,0.35599185717128656,0.08375130745839925,283.15,0.008619981410308654,1230.2154277373909,1.8589691346106375e-08,0.0,0.0,1.8589691346106375e-08,2.326076376471002e-09,8082589.210576043,0.08082589210576044,0.0024819946232604194,0.002296387088233775,1.1572150031537558e-06,1.728752758700715e-08
8.5,0.40048306185957533,0.08898240937657756,283.15,0.008619980239118044,1230.215264021282,1.9760881955419507e-08,0.0,0.0,1.9760881955419507e-08,2.3423812186262685e-09,8076779.670801375,0.08076779670801375,0.002481861213739148,0.002296387088233775,1.1657937416145442e-06,1.715747692157697e-08
9.0,0.447589512569218,0.09421290141928532,283.15,0.008619979059856571,1230.21509915759,2.0940143428339943e-08,0.0,0.0,2.0940143428339943e-08,2.3585229458408705e-09,8070929.408514858,0.08070929408514858,0.0024817268690713727,0.002296387088233775,1.1743088906687306e-06,1.7030298108372767e-08
