time,height,w,temperature,qv,vapour_pressure,cloud_mass,rain_mass,surface_rain_rate,liquid_water_path,cond_rate,n_droplets,activated_fraction,S,Sc,droplet_radius,dr_dt
0.0,0.0,0.0,283.1495,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04913953028078495,0.002296393170854709,1e-06,0.0
0.5,0.0026179908874179934,0.005235981774835987,283.149,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04910769737937719,0.002296399253502498,1e-06,0.0
1.0,0.007853954718837573,0.01047192766283916,283.1485,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04907586328668707,0.0022964053361771374,1e-06,0.0
1.5,0.015707855607548907,0.01570780177742267,283.148,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0490440280026654,0.002296411418878631,1e-06,0.0
2.0,0.0261796397237947,0.020943568232491584,283.14750000000004,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04901219152726371,0.002296417501606977,1e-06,0.0
2.5,0.039269235295139135,0.02617919114268888,283.14700000000005,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04898035386043244,0.0022964235843621764,1e-06,0.0
3.0,0.054976552606959814,0.03141463462364135,283.14650000000006,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048948515002122744,0.0022964296671442296,1e-06,0.0
3.5,0.0733014840030626,0.03664986279220559,283.1460000000001,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04891667495228544,0.002296435749953137,1e-06,0.0
4.0,0.09424390388641957,0.041884839766713915,283.1455000000001,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04888483371087184,0.0022964418327888975,1e-06,0.0
4.5,0.11780366872002972,0.0471195296672203,283.1450000000001,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0488529912778324,0.0022964479156515117,1e-06,0.0
5.0,0.14398061702790288,0.0523538966157463,283.1445000000001,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04882114765311843,0.002296453998540979,1e-06,0.0
5.5,0.17277456939616634,0.057587904736526925,283.1440000000001,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04878930283668056,0.0022964600814573024,1e-06,0.0
6.0,0.20418532847429463,0.06282151815625658,283.14350000000013,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04875745682847026,0.002296466164400478,1e-06,0.0
6.5,0.2382126789764621,0.06805470100433489,283.14300000000014,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04872560962843798,0.0022964722473705103,1e-06,0.0
7.0,0.27485638768301834,0.07328741741311255,283.14250000000015,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04869376123653485,0.002296478330367397,1e-06,0.0
7.5,0.31411620344208696,0.07851963151813722,283.14200000000017,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04866191165271165,0.002296484413391138,1e-06,0.0
8.0,0.35599185717128656,0.08375130745839925,283.1415000000002,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04863006087691986,0.0022964904964417345,1e-06,0.0
8.5,0.40048306185957533,0.08898240937657756,283.1410000000002,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04859820890910973,0.002296496579519185,1e-06,0.0
9.0,0.447589512569218,0.09421290141928532,283.1405000000002,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048566355749232556,0.0022965026626234923,1e-06,0.0
9.5,0.4973108864378758,0.09944274773731569,283.1400000000002,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04853450139723929,0.0022965087457546543,1e-06,0.0
10.0,0.5496468426808196,0.10467191248588766,283.1395000000002,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04850264585308051,0.002296514828912673,1e-06,0.0
10.5,0.6045970225932654,0.10990035982489149,283.13900000000024,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0484707891167077,0.0022965209120975466,1e-06,0.0
11.0,0.6621610495528327,0.11512805391913454,283.13850000000025,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04843893118807126,0.0022965269953092765,1e-06,0.0
11.5,0.7223385290221261,0.12035495893858689,283.13800000000026,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04840707206712248,0.002296533078547863,1e-06,0.0
12.0,0.7851290485514395,0.12558103905862675,283.1375000000003,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04837521175381228,0.0022965391618133056,1e-06,0.0
12.5,0.8505321777815826,0.13080625846028615,283.1370000000003,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048343350248091076,0.002296545245105606,1e-06,0.0
13.0,0.9185474684468308,0.13603058133049634,283.1365000000003,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04831148754991049,0.0022965513284247613,1e-06,0.0
13.5,0.9891744543779974,0.14125397186233335,283.1360000000003,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04827962365922092,0.0022965574117707736,1e-06,0.0
14.0,1.0624126515056291,0.14647639425526338,283.1355000000003,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04824775857597329,0.0022965634951436437,1e-06,0.0
14.5,1.138261557863323,0.15169781271538804,283.13500000000033,0.00817,1166.8279987939763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04821589230011905,0.002296569578543371,1e-06,0.0
