diagnostic,python_case4_original,python_case4_v2,kid_mixed1
cloud_onset_1e-6_s,19.0,225.0,120.0
first_ice_recorded_s,0.0,0.0,120.0
max_cloud_mass_kgkg,0.0005466386930672,1.751852513861405e-05,0.00011077967792516574
max_ice_mass_kgkg,0.0009968318768148,0.0001975102134619,6.664129870159741e-08
max_ice_number_m3,87945.35474823853,98572.67870999264,2532.981689453125
max_water_supersaturation_percent,0.44031550847582,0.32697441046735,0.7167587280273438
max_ice_supersaturation_percent,10.35388219397341,23.07831598535051,22.76800537109375
