aerosol_N_m3,saturation_time_s,first_activation_time_s,sat_to_first_activation_s,t_1pct_s,t_10pct_s,t_50pct_s,t_90pct_s,SSmax_percent,max_Nc_m3,qc_1e-7_time_s,qcmax_kgkg
25000000.0,742.5,777.0,34.5,777.0,780.5,794.0,808.0,1.9307435211118222,25000000.0,801.0,0.0009140224617933974
50000000.0,742.5,777.0,34.5,777.0,780.5,794.0,808.5,1.363463556497426,50000000.0,795.5,0.00090708274285406
100000000.0,742.5,777.0,34.5,777.0,780.5,794.5,809.0,0.9624591173468795,100000000.0,790.5,0.00090342854340826
200000000.0,742.5,777.0,34.5,777.0,780.5,794.5,811.0,0.6803796329169678,200000000.0,787.0,0.000901352685342747
