time,height,w,temperature,qv,vapour_pressure,cloud_mass,rain_mass,surface_rain_rate,liquid_water_path,cond_rate,n_droplets,S,Sc,droplet_radius,dr_dt
0.0,0.0,0.0,297.9,0.015,2354.7880690737834,0.0,0.0,0.0,0.0,0.0,0.0,-0.2453755690468165,0.0021279635784531943,1e-06,0.0
1.0,0.01047192766283916,0.01047192766283916,297.9,0.015,2354.7880690737834,0.0,0.0,0.0,0.0,0.0,0.0,-0.2453755690468165,0.0021279635784531943,1e-06,0.0
2.0,0.03141549589533074,0.020943568232491584,297.9,0.015,2354.7880690737834,0.0,0.0,0.0,0.0,0.0,0.0,-0.2453755690468165,0.0021279635784531943,1e-06,0.0
3.0,0.0628301305189721,0.03141463462364135,297.9,0.015,2354.7880690737834,0.0,0.0,0.0,0.0,0.0,0.0,-0.2453755690468165,0.0021279635784531943,1e-06,0.0
4.0,0.10471497028568602,0.041884839766713915,297.9,0.015,2354.7880690737834,0.0,0.0,0.0,0.0,0.0,0.0,-0.2453755690468165,0.0021279635784531943,1e-06,0.0
5.0,0.15706886690143232,0.0523538966157463,297.9,0.015,2354.7880690737834,0.0,0.0,0.0,0.0,0.0,0.0,-0.2453755690468165,0.0021279635784531943,1e-06,0.0
6.0,0.2198903850576889,0.06282151815625658,297.9,0.015,2354.7880690737834,0.0,0.0,0.0,0.0,0.0,0.0,-0.2453755690468165,0.0021279635784531943,1e-06,0.0
7.0,0.29317780247080144,0.07328741741311255,297.9,0.015,2354.7880690737834,0.0,0.0,0.0,0.0,0.0,0.0,-0.2453755690468165,0.0021279635784531943,1e-06,0.0
8.0,0.3769291099292007,0.08375130745839925,297.9,0.015,2354.7880690737834,0.0,0.0,0.0,0.0,0.0,0.0,-0.2453755690468165,0.0021279635784531943,1e-06,0.0
9.0,0.471142011348486,0.09421290141928532,297.9,0.015,2354.7880690737834,0.0,0.0,0.0,0.0,0.0,0.0,-0.2453755690468165,0.0021279635784531943,1e-06,0.0
10.0,0.5758139238343737,0.10467191248588766,297.9,0.015,2354.7880690737834,0.0,0.0,0.0,0.0,0.0,0.0,-0.2453755690468165,0.0021279635784531943,1e-06,0.0
