t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,cond_sink_kgm3s,dep_sink_kgm3s,R_BF,latent_heating_Ks,dT_dt_Ks,ice_active
0.0,253.1,125.07403674915756,-0.001000000000000052,0.21717230191550127,0.0,9822.332487315882,1e-06,5.635076621347709e-06,0.0,6.350766213477082e-07,0.0,6.751061321362714e-09,0.0,2.2825463623191113e-09,0.0,2.2825463623191113e-09,2282.5463623191113,6.4365536226988674e-06,6.4365536226988674e-06,1
1.0,253.10000643655363,125.07374616137405,-0.001002658216065314,0.21716898611470348,0.0,9822.33220650341,1e-06,6.198571420633457e-06,0.0,5.634947992857481e-07,0.0,8.9856064227879e-09,0.0,2.450569079908489e-09,0.0,2.450569079908489e-09,2450.569079908489,6.910360967622545e-06,-8.797530526636193e-06,1
2.0,253.0999976390231,125.0734292719512,-0.001004221858500182,0.21716718630675086,0.0,9822.332590319926,1e-06,6.710835852771813e-06,0.0,5.122644321383557e-07,0.0,1.1402561643777826e-08,0.0,2.6112068124687563e-09,0.0,2.6112068124687563e-09,2611.206812468756,7.363343389588513e-06,-2.4052008959148862e-05,1
3.0,253.09997358701412,125.07308698987816,-0.0010046823681667987,0.21716691316369785,0.0,9822.33363965095,1e-06,7.183995564085607e-06,0.0,4.7315971131379367e-07,0.0,1.3988488604108885e-08,0.0,2.763972710141382e-09,0.0,2.763972710141382e-09,2763.972710141382,7.794128020438484e-06,-3.932782391502354e-05,1
4.0,253.0999342591902,125.07272016075338,-0.0010040306501705061,0.21716817802293553,0.0,9822.335355415747,1e-06,7.625992633682642e-06,0.0,4.4199706959703474e-07,0.0,1.6732539043470462e-08,0.0,2.9094179260544864e-09,0.0,2.9094179260544864e-09,2909.4179260544865,8.20426905715265e-06,-5.462299059291822e-05,1
5.0,253.0998796361996,125.0723295448314,-0.0010022582825916081,0.21717099137945764,0.0,9822.337738439614,1e-06,8.042375322072502e-06,0.0,4.1638268838986077e-07,0.0,1.9625729960408052e-08,0.0,3.0482838248422915e-09,0.0,3.0482838248422915e-09,3048.283824842292,8.595857074231895e-06,-6.993498784938755e-05,1
6.0,253.09980970121174,125.07191582029779,-0.0009993577379078698,0.21717536260966572,0.0,9822.340789430431,1e-06,8.43720597111541e-06,0.0,3.9483064904290775e-07,0.0,2.266046915117594e-08,0.0,3.1812833916366174e-09,0.0,3.1812833916366174e-09,3181.2833916366176,8.970902618804153e-06,-8.526137461558073e-05,1
7.0,253.09972443983713,125.07147959266754,-0.0009953223498660405,0.21718130001272873,0.0,9822.34450898214,1e-06,8.813567526878648e-06,0.0,3.7636155576323867e-07,0.0,2.583023256237871e-08,0.0,3.309048174847087e-09,0.0,3.309048174847087e-09,3309.048174847087,9.331186594543925e-06,-0.0001005999395251249,1
8.0,253.09962383989762,125.07102140475914,-0.0009901462185650004,0.2171888109289532,0.0,9822.34889758477,1e-06,9.173866860830462e-06,0.0,3.602993339518136e-07,0.0,2.9129337034362784e-08,0.0,3.4321232990911508e-09,0.0,3.4321232990911508e-09,3432.123299091151,9.678246198631167e-06,-0.00011594871498896771,1
9.0,253.09950789118264,125.0705417456701,-0.0009838241097555444,0.21719790186544055,0.0,9822.353955635039,1e-06,9.520026668917263e-06,0.0,3.461598080868003e-07,0.0,3.255277527914974e-08,0.0,3.5509761165211523e-09,0.0,3.5509761165211523e-09,3550.9761165211526,1.0013399317632782e-05,-0.00013130595281129519,1
10.0,253.09937658522983,125.07004105843231,-0.0009763513642143232,0.21720857860912274,0.0,9822.35968344593,1e-06,9.853612340899551e-06,0.0,3.3358567198228783e-07,0.0,3.6096092877208255e-08,0.0,3.66600764728664e-09,0.0,3.66600764728664e-09,3666.00764728664,1.0337776788467997e-05,-0.0001466700919403635,1
11.0,253.0992299151379,125.06951974641763,-0.0009677238204520879,0.2172208463231789,0.0,9822.366081254851,1e-06,1.0175918920169507e-05,0.0,3.2230657926995624e-07,0.0,3.975529451280205e-08,0.0,3.777563407141647e-09,0.0,3.777563407141647e-09,3777.563407141647,1.0652352931183511e-05,-0.00016203972794751832,1
12.0,253.09906787540996,125.06897817866972,-0.0009579377500309507,0.21723470962770675,0.0,9822.373149230476,1e-06,1.0488032534841012e-05,0.0,3.1211361467150574e-07,0.0,4.352677109765068e-08,0.0,3.885942711505781e-09,0.0,3.885942711505781e-09,3885.942711505781,1.0957971785479984e-05,-0.00017741358680246013,1
13.0,253.09889046182315,125.06841669434644,-0.0009469898037246353,0.2172501726669215,0.0,9822.380887478415,1e-06,1.079087492115997e-05,0.0,3.028423863189563e-07,0.0,4.740724216476544e-08,0.0,3.9914063829501545e-09,0.0,3.9914063829501545e-09,3991.4063829501547,1.1255368845055462e-05,-0.00019279050315068903,1
14.0,253.09869767132,125.06783560643544,-0.0009348769666613144,0.21726723916509935,0.0,9822.389296045978,1e-06,1.1085236412110208e-05,0.0,2.943614909502395e-07,0.0,5.1393709653177215e-08,0.0,4.094183047583675e-09,0.0,4.094183047583675e-09,4094.1830475836755,1.1545188812788194e-05,-0.00020816940257010688,1
15.0,253.0984895019174,125.06723520487844,-0.0009215965207908315,0.21728591247337814,0.0,9822.398374926137,1e-06,1.137180085282921e-05,0.0,2.865644407190026e-07,0.0,5.5483420342676585e-08,0.0,4.194474259295728e-09,0.0,4.194474259295728e-09,4194.474259295728,1.1828000050591138e-05,-0.00022354928713294367,1
16.0,253.09826595263027,125.06661575921368,-0.0009071460133359726,0.2173061956091446,0.0,9822.408124060881,1e-06,1.1651164738120188e-05,0.0,2.7936388529097693e-07,0.0,5.967383496205796e-08,0.0,4.292458675140849e-09,0.0,4.292458675140849e-09,4292.458675140849,1.210430635358126e-05,-0.0002389292236433652,1
17.0,253.09802702340662,125.06597752082406,-0.0008915232300961709,0.2173280912893072,0.0,9822.418543344038,1e-06,1.1923852132746829e-05,0.0,2.7268739462664134e-07,0.0,6.396260251933393e-08,0.0,4.388295470379667e-09,0.0,4.388295470379667e-09,4388.295470379668,1.23745565801552e-05,-0.0002543083340191694,1
