t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,cond_sink_kgm3s,dep_sink_kgm3s,R_BF,latent_heating_Ks,dT_dt_Ks,ice_active
0.0,253.1,125.07298301490545,-0.001000000000000052,0.21717230191550127,0.0,49111.66243657941,1e-06,5.635076621347709e-06,0.0,6.350766213477082e-07,0.0,3.3755306606813575e-08,0.0,1.1412731811595557e-08,0.0,1.1412731811595557e-08,11412.731811595557,3.2182768113494336e-05,3.2182768113494336e-05,1
1.0,253.1000321827681,125.07156122369508,-0.0010132910535866919,0.21715572294823396,0.0,49111.65541624585,1e-06,6.1985382448435324e-06,0.0,5.634616234958233e-07,0.0,4.49273055930359e-08,0.0,1.225199146095646e-08,0.0,1.225199146095646e-08,12251.99146095646,3.454939681626926e-05,1.884150532201052e-05,1
2.0,253.10005102427343,125.07003909196506,-0.001026269204158259,0.2171396849400429,0.0,49111.65130614366,1e-06,6.710742881340104e-06,0.0,5.122046364965718e-07,0.0,5.701042517939449e-08,0.0,1.3054145251216414e-08,0.0,1.3054145251216414e-08,13054.145251216414,3.681139068850479e-05,5.396038339767417e-06,1
3.0,253.10005642031177,125.06842118424085,-0.001038891314417199,0.21712424168989208,0.0,49111.650129043766,1e-06,7.183819520223154e-06,0.0,4.730766388830499e-07,0.0,6.993727559495352e-08,0.0,1.3816754935710195e-08,0.0,1.3816754935710195e-08,13816.754935710194,3.8961874117216606e-05,-8.160077818245415e-06,1
4.0,253.10004826023396,125.06671174719823,-0.001051111444397696,0.21710945048896482,0.0,49111.65190909477,1e-06,7.6257121924628365e-06,0.0,4.418926722396824e-07,0.0,8.365342326485094e-08,0.0,1.454257667305047e-08,0.0,1.454257667305047e-08,14542.57667305047,4.100861919544779e-05,-2.181864045462308e-05,1
5.0,253.1000264415935,125.0649145997888,-0.0010628869002823273,0.217095364575563,0.0,49111.65666862691,1e-06,8.041970405950748e-06,0.0,4.1625821348791197e-07,0.0,9.811376487969179e-08,0.0,1.52353186193671e-08,0.0,1.52353186193671e-08,15235.3186193671,4.2962082554513796e-05,-3.5568762369105645e-05,1
6.0,253.09999087283114,125.06303314960387,-0.0010741793426030468,0.2170820317528136,0.0,49111.66442756572,1e-06,8.436657353140901e-06,0.0,3.9468694719015375e-07,0.0,1.1328015403968014e-07,0.0,1.589854712725999e-08,0.0,1.589854712725999e-08,15898.547127259992,4.4832320953885383e-05,-4.9399956280499495e-05,1
7.0,253.09994147287486,125.06107043988085,-0.001084954620686258,0.21706949459526775,0.0,49111.67520351872,1e-06,8.812856589201364e-06,0.0,3.7619923606046373e-07,0.0,1.2911978731623128e-07,0.0,1.653542124179432e-08,0.0,1.653542124179432e-08,16535.42124179432,4.662824258631354e-05,-6.330288353335528e-05,1
8.0,253.0998781699913,125.05902919939284,-0.0010951822979549564,0.2170577910410642,0.0,49111.689012025476,1e-06,9.172975438771258e-06,0.0,3.6011884956989306e-07,0.0,1.45604067482729e-07,0.0,1.7148667722237313e-08,0.0,1.7148667722237313e-08,17148.667722237315,4.835753664161248e-05,-7.72694245459864e-05,1
9.0,253.09980090056678,125.05691188734507,-0.001104835148201293,0.21704695502032123,0.0,49111.70586682304,1e-06,9.518936945475479e-06,0.0,3.4596150670422115e-07,0.0,1.6270777805582558e-07,0.0,1.774062430640809e-08,0.0,1.774062430640809e-08,17740.62430640809,5.002679530782142e-05,-9.129255682110656e-05,1
