time_s,w_mps
0.0,0.0
1.0,0.01047192766283916
2.0,0.020943568232491584
3.0,0.03141463462364135
4.0,0.041884839766713915
5.0,0.0523538966157463
6.0,0.06282151815625658
7.0,0.07328741741311255
8.0,0.08375130745839925
9.0,0.09421290141928532
10.0,0.10467191248588766
11.0,0.11512805391913454
12.0,0.12558103905862675
13.0,0.13603058133049634
14.0,0.14647639425526338
15.0,0.1569181914556899
16.0,0.16735568666463096
17.0,0.17778859373288303
18.0,0.18821662663702862
19.0,0.198639499487278
20.0,0.20905692653530691
21.0,0.21946862218209054
22.0,0.22987430098573317
23.0,0.24027367766929417
24.0,0.2506664671286085
25.0,0.2610523844401032
26.0,0.27143114486860875
27.0,0.28180246387516533
28.0,0.29216605712482324
29.0,0.3025216404944384
30.0,0.31286893008046174
31.0,0.32320764220672227
32.0,0.3335374934322045
33.0,0.34385820055881905
34.0,0.3541694806391666
35.0,0.3644710509842949
36.0,0.3747626291714492
37.0,0.38504393305181484
38.0,0.39531468075825227
39.0,0.40557459071302493
40.0,0.41582338163551863
41.0,0.42606077254995306
42.0,0.4362864827930851
43.0,0.4465002320219027
44.0,0.4567017402213114
45.0,0.4668907277118108
46.0,0.4770669151571617
47.0,0.48723002357204503
48.0,0.4973797743297096
49.0,0.5075158891696112
50.0,0.5176380902050416
51.0,0.5277460999307457
52.0,0.5378396412305314
53.0,0.5479184373848649
54.0,0.5579822120784586
55.0,0.5680306894078453
56.0,0.5780635938889432
57.0,0.5880806504646079
58.0,0.5980815845121733
59.0,0.6080661218509805
60.0,0.6180339887498948
61.0,0.6279849119348099
62.0,0.63791861859614
63.0,0.6478348363962988
64.0,0.6577332934771665
65.0,0.6676137184675418
66.0,0.6774758404905827
67.0,0.6873193891712321
68.0,0.6971440946436304
69.0,0.7069496875585143
70.0,0.7167358990906004
71.0,0.7265024609459567
72.0,0.7362491053693558
73.0,0.7459755651516178
74.0,0.7556815736369342
75.0,0.7653668647301796
76.0,0.7750311729042059
77.0,0.7846742332071229
78.0,0.7942957812695611
79.0,0.8038955533119203
80.0,0.8134732861516003
81.0,0.8230287172102175
82.0,0.8325615845208022
83.0,0.8420716267349821
84.0,0.8515585831301453
85.0,0.8610221936165903
86.0,0.8704621987446549
87.0,0.8798783397118302
88.0,0.8892703583698548
89.0,0.8986379972317933
90.0,0.9079809994790935
91.0,0.9172991089686299
92.0,0.9265920702397233
93.0,0.9358596285211467
94.0,0.945101529738108
95.0,0.9543175205192168
96.0,0.9635073482034306
97.0,0.9726707608469809
98.0,0.9818075072302815
99.0,0.9909173368648152
100.0,1.0
101.0,1.0090552476300385
102.0,1.0180828315007424
103.0,1.02708250411634
104.0,1.0360540187462604
105.0,1.0449971294318976
106.0,1.0539115909933552
107.0,1.0627971590361658
108.0,1.0716535899579933
109.0,1.0804806409553098
110.0,1.0892780700300542
111.0,1.0980456359962636
112.0,1.1067830984866882
113.0,1.1154902179593802
114.0,1.1241667557042612
115.0,1.1328124738496657
116.0,1.1414271353688632
117.0,1.1500105040865571
118.0,1.1585623446853577
119.0,1.167082422712235
120.0,1.1755705045849463
121.0,1.184026357598439
122.0,1.1924497499312317
123.0,1.200840450651768
124.0,1.2091982297247497
125.0,1.217522858017441
126.0,1.225814107305953
127.0,1.2340717502814973
128.0,1.2422955605566206
129.0,1.2504853126714102
130.0,1.2586407820996748
131.0,1.2667617452551003
132.0,1.2748479794973793
133.0,1.2828992631383156
134.0,1.290915375447901
135.0,1.2988960966603673
136.0,1.3068412079802108
137.0,1.3147504915881916
138.0,1.3226237306473037
139.0,1.3304607093087217
140.0,1.3382612127177163
141.0,1.3460250270195464
142.0,1.3537519393653215
143.0,1.3614417379178356
144.0,1.3690942118573772
145.0,1.3767091513875078
146.0,1.3842863477408136
147.0,1.3918255931846286
148.0,1.3993266810267306
149.0,1.4067894056210077
150.0,1.4142135623730951
151.0,1.421598947745985
152.0,1.4289453592656065
153.0,1.4362525955263776
154.0,1.4435204561967243
155.0,1.4507487420245753
156.0,1.4579372548428229
157.0,1.4650857975747573
158.0,1.4721941742394686
159.0,1.4792621899572194
160.0,1.4862896509547883
161.0,1.4932763645707827
