t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,ice_active
15.0,273.0000000000001,580.0530297272562,-0.04011891892854158,0.06653453452384239,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
16.0,272.9900000000001,580.0317815852097,-0.0394561390858974,0.06727095657122506,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
17.0,272.98000000000013,580.0105334431632,-0.03879285170722391,0.06800794254752907,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
18.0,272.97000000000014,579.9892853011168,-0.038129056367618985,0.06874549292486787,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
19.0,272.96000000000015,579.9680371590703,-0.03746475264180871,0.06948360817576793,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
20.0,272.95000000000016,579.9467890170238,-0.036799940104120576,0.07022228877319936,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
21.0,272.94000000000017,579.9255408749773,-0.03613461832850873,0.07096153519054593,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
22.0,272.9300000000002,579.9042927329308,-0.035468786888535275,0.07170134790162752,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
23.0,272.9200000000002,579.8830445908843,-0.03480244535737287,0.07244172738069676,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
24.0,272.9100000000002,579.8617964488378,-0.03413559330781635,0.0731826741024264,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
25.0,272.9000000000002,579.8405483067913,-0.03346823031226398,0.07392418854192884,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
26.0,272.8900000000002,579.8193001647448,-0.03280035594273345,0.07466627117474056,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
27.0,272.8800000000002,579.7980520226984,-0.03213196977085164,0.07540892247683151,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
28.0,272.87000000000023,579.7768038806519,-0.031463071367856976,0.07615214292460326,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
29.0,272.86000000000024,579.7555557386054,-0.0307936603046014,0.07689593299488706,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
30.0,272.85000000000025,579.7343075965589,-0.03012373615154551,0.07764029316494936,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
31.0,272.84000000000026,579.7130594545124,-0.029453298478761436,0.07838522391248737,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
32.0,272.83000000000027,579.6918113124659,-0.02878234685593306,0.07913072571562974,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
33.0,272.8200000000003,579.6705631704194,-0.028110880852351916,0.07987679905294232,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
34.0,272.8100000000003,579.6493150283729,-0.02743890003692062,0.08062344440342173,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
35.0,272.8000000000003,579.6280668863265,-0.02676640397814889,0.08137066224650136,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
36.0,272.7900000000003,579.60681874428,-0.0260933922441563,0.08211845306204846,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
37.0,272.7800000000003,579.5855706022335,-0.025419864402671744,0.08286681733036483,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
38.0,272.7700000000003,579.564322460187,-0.02474582002103276,0.08361575553218592,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
39.0,272.76000000000033,579.5430743181405,-0.02407125866618065,0.08436526814868817,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
40.0,272.75000000000034,579.521826176094,-0.02339617990466969,0.0851153556614781,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
41.0,272.74000000000035,579.5005780340475,-0.022720583302654807,0.0858660185526059,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
42.0,272.73000000000036,579.479329892001,-0.022044468425900132,0.08661725730455538,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
43.0,272.72000000000037,579.4580817499545,-0.021367834839777666,0.08736907240024694,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
44.0,272.7100000000004,579.436833607908,-0.020690682109265057,0.08812146432303858,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
45.0,272.7000000000004,579.4155854658616,-0.020013009798939385,0.08887443355673397,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
46.0,272.6900000000004,579.3943373238151,-0.019334817472990817,0.08962798058556554,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
47.0,272.6800000000004,579.3730891817686,-0.01865610469520762,0.0903821058942138,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
48.0,272.6700000000004,579.3518410397221,-0.017976871028987818,0.09113680996779117,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
49.0,272.6600000000004,579.3305928976756,-0.017297116037327087,0.09189209329185877,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
50.0,272.65000000000043,579.3093447556291,-0.016616839282827645,0.09264795635241363,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
51.0,272.64000000000044,579.2880966135826,-0.01593604032769802,0.09340439963589109,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
52.0,272.63000000000045,579.2668484715362,-0.015254718733742734,0.09416142362917457,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
53.0,272.62000000000046,579.2456003294897,-0.014572874062372732,0.0949190288195858,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
54.0,272.61000000000047,579.2243521874432,-0.0138905058746005,0.0956772156948884,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
55.0,272.6000000000005,579.2031040453967,-0.013207613731041401,0.09643598474328718,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
56.0,272.5900000000005,579.1818559033502,-0.012524197191903674,0.09719533645344036,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
57.0,272.5800000000005,579.1606077613037,-0.011840255817008094,0.09795527131443538,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
58.0,272.5700000000005,579.1393596192572,-0.011155789165770091,0.09871578981581108,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
59.0,272.5600000000005,579.1181114772107,-0.010470796797200865,0.09947689244755442,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
60.0,272.5500000000005,579.0968633351642,-0.00978527826991693,0.1002385797000922,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
61.0,272.54000000000053,579.0756151931178,-0.009099233142132235,0.10100085206429754,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
62.0,272.53000000000054,579.0543670510713,-0.008412660971660157,0.10176371003148854,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
63.0,272.52000000000055,579.0331189090248,-0.007725561315911511,0.10252715409343138,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
64.0,272.51000000000056,579.0118707669783,-0.007037933731895207,0.10329118474233878,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
65.0,272.50000000000057,578.9906226249318,-0.006349777776216925,0.10405580247086998,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
66.0,272.4900000000006,578.9693744828853,-0.005661093005079665,0.10482100777213366,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
67.0,272.4800000000006,578.9481263408388,-0.0049718789742869696,0.105586801139681,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
68.0,272.4700000000006,578.9268781987923,-0.004282135239229934,0.1063531830675224,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
69.0,272.4600000000006,578.9056300567458,-0.003591861354908188,0.10712015405010189,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
70.0,272.4500000000006,578.8843819146994,-0.002901056875904029,0.10788771458232893,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
71.0,272.4400000000006,578.8631337726529,-0.0022097213564025164,0.10865586515955261,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
72.0,272.43000000000063,578.8418856306064,-0.0015178543501844777,0.10942460627757278,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
73.0,272.42000000000064,578.8206374885599,-0.0008254554106191803,0.11019393843264536,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
74.0,272.41000000000065,578.7993893465134,-0.0001325240906751013,0.11096386212147191,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
75.0,272.40000000000066,578.7519338945058,0.000560940057086734,0.11173437784120765,500003000.0,0.0,1.031201406331006e-06,5e-06,3.1201406331006175e-08,0.0,2.296633573395945e-06,0.0,2.0847003372090813e-07,0.0,0
76.0,272.39000000000067,578.668765234896,0.0012096002491492897,0.11245511138794351,500003000.0,0.0,1.0964160623749635e-06,5e-06,6.521465604395741e-08,0.0,2.760497684806572e-06,0.0,4.925819126587218e-07,0.0,0
77.0,272.3800000000007,578.5460889104656,0.001796900889976305,0.11310766765552938,500003000.0,0.0,1.1874880118964934e-06,5e-06,9.107194952152987e-08,0.0,3.5071062337491197e-06,0.0,8.069108875715103e-07,0.0,0
78.0,272.3700000000007,578.3811789520092,0.002316133064102388,0.11368459229344707,500003000.0,0.0,1.2958206134582631e-06,5e-06,1.0833260156176968e-07,0.0,4.5571767415065346e-06,0.0,1.142961009548933e-06,0.0,0
79.0,272.3600000000007,578.1730219353749,0.0027624209098109365,0.11418046767756773,500003000.0,0.0,1.4141680375367033e-06,5e-06,1.1834742407844009e-07,0.0,5.9233073936250025e-06,0.0,1.487110767857608e-06,0.0,0
80.0,272.3500000000007,577.922345328047,0.0031338457899821037,0.11459316198886871,500003000.0,0.0,1.537132418116761e-06,5e-06,1.2296438058005773e-07,0.0,7.606678573842153e-06,0.0,1.825510622403088e-06,0.0,0
81.0,272.3400000000007,577.6313872738014,0.003431506335698442,0.11492389592855368,500003000.0,0.0,1.6609450812322287e-06,5e-06,1.2381266311546758e-07,0.0,9.596813122412398e-06,0.0,2.14614017681879e-06,0.0,0
82.0,272.3300000000007,577.3035646259956,0.003659129469387068,0.11517681052154094,500003000.0,0.0,1.7830695830099935e-06,5e-06,1.2212450177776474e-07,0.0,1.187315381348618e-05,0.0,2.43961818622079e-06,0.0,0
83.0,272.32000000000073,576.9431031714552,0.0038225027743183926,0.1153583364159092,500003000.0,0.0,1.9018510045921966e-06,5e-06,1.1878142158220317e-07,0.0,1.4407568407392712e-05,0.0,2.6995039877057575e-06,0.0,0
84.0,272.31000000000074,576.5546723618927,0.003928838564783987,0.11547648729420446,500003000.0,0.0,2.01625609101481e-06,5e-06,1.1440508642261366e-07,0.0,1.716715374282748e-05,0.0,2.9222622805666912e-06,0.0,0
85.0,272.30000000000075,576.143058016463,0.003986143002151055,0.11554015889127878,500003000.0,0.0,2.125690374965969e-06,5e-06,1.0943428395115903e-07,0.0,2.0116908363817696e-05,0.0,3.1069616083773016e-06,0.0,0
