t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,latent_heating_Ks,dT_dt_Ks,ice_active
0.0,273.15,580.5337140765147,-0.05000000000000009,-0.049927860781880086,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
1.0,273.09999999999997,580.4274281530294,-0.0467206380733559,-0.04618174658604934,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
2.0,273.04999999999995,580.3211422295441,-0.04342856174223579,-0.04241943499885785,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
3.0,272.99999999999994,580.2148563060588,-0.04012371661522748,-0.03864085012631594,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
4.0,272.94999999999993,580.1085703825735,-0.036806048047371046,-0.034845915692427176,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
5.0,272.8999999999999,580.0022844590882,-0.03347550113888287,-0.031034555037170026,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
6.0,272.8499999999999,579.8959985356029,-0.03013202073387319,-0.02720669111439202,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
7.0,272.7999999999999,579.7897126121176,-0.02677555141905616,-0.02336224648976701,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
8.0,272.7499999999999,579.6834266886323,-0.023406037522453252,-0.019501143338711144,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
9.0,272.6999999999999,579.577140765147,-0.020023423112089576,-0.015623303444250718,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
10.0,272.64999999999986,579.4708548416617,-0.01662765199468412,-0.011728648194955588,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
11.0,272.59999999999985,579.3645689181764,-0.01321866771433014,-0.007817098582780213,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
12.0,272.54999999999984,579.2582829946911,-0.009796413551172615,-0.0038885752009441476,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
13.0,272.49999999999983,579.1519970712058,-0.006360832520073838,5.7001758191617534e-05,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
14.0,272.4499999999998,579.0457111477205,-0.002911867369276239,0.004019712505340377,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
15.0,272.3999999999998,578.9148068481867,0.0005505394209448527,0.007999637656408222,500003000.0,0.0,1.030630575311174e-06,1e-06,3.0630575311174175e-08,0.0,2.292821716370678e-06,0.0,2.0442955004663035e-07,0.0,0.0005085312190214685,-0.049491468780978536,0
16.0,272.35050853121885,578.5600405526718,0.003946457848378508,0.011911195592310618,500003000.0,0.0,1.2431638442249088e-06,1e-06,2.1253326891373463e-07,0.0,4.023892146409929e-06,0.0,2.063793012334627e-06,0.0,0.005133813463518972,-0.04486618653648103,0
17.0,272.3056423446824,577.9254749145465,0.006625426313105858,0.015057366061749426,500003000.0,0.0,1.538325511633897e-06,1e-06,2.9516166740898823e-07,0.0,7.624404811659418e-06,0.0,4.388730512868363e-06,0.0,0.010917240081762097,-0.039082759918237904,0
18.0,272.26655958476414,577.0466082537391,0.008397574503200968,0.01723368695531962,500003000.0,0.0,1.8400797101971777e-06,1e-06,3.0175419856328066e-07,0.0,1.3048816657212142e-05,0.0,6.419616265712156e-06,0.0,0.01596919469082626,-0.03403080530917374,0
19.0,272.232528779455,575.9842024056812,0.009372143539985863,0.018556262951496143,500003000.0,0.0,2.121159289770519e-06,1e-06,2.8107957957334134e-07,0.0,1.9988539809339273e-05,0.0,7.946178855575593e-06,0.0,0.019766614068596002,-0.030233385931404,0
20.0,272.20229539352357,574.7993097529912,0.009743695417662894,0.019233000461515305,500003000.0,0.0,2.3742851611378742e-06,1e-06,2.531258713673552e-07,0.0,2.8032372412131486e-05,0.0,8.96571162907118e-06,0.0,0.02230276524644572,-0.027697234753554283,0
21.0,272.17459815877004,573.5438286138119,0.00970995595104057,0.01947551087292693,500003000.0,0.0,2.599337163440522e-06,1e-06,2.2505200230264795e-07,0.0,3.6783162653550225e-05,0.0,9.55411770658687e-06,0.0,0.02376646195668376,-0.026233538043316244,0
22.0,272.14836462072674,572.2560113079247,0.009440032598878618,0.019464936230987485,500003000.0,0.0,2.7989334106301987e-06,1e-06,1.9959624718967673e-07,0.0,4.592391646429895e-05,0.0,9.824715387347252e-06,0.0,0.024439590515789186,-0.025560409484210816,0
23.0,272.1228042112425,570.9605337519131,0.009059034612205355,0.01933536873859969,500003000.0,0.0,2.9765926179027476e-06,1e-06,1.7765920727254892e-07,0.0,5.5235643818397577e-05,0.0,9.89028928743315e-06,0.0,0.024602709670231718,-0.025397290329768285,0
24.0,272.09740692091276,569.6711980641635,0.008647893900781837,0.01917359440180866,500003000.0,0.0,3.1358682203190564e-06,1e-06,1.592756024163087e-07,0.0,6.458544125327656e-05,0.0,9.841183691601785e-06,0.0,0.024480556446770607,-0.025519443553229396,0
25.0,272.07188747735955,568.3943370475006,0.008252010217163314,0.019028323984346982,500003000.0,0.0,3.2799526963388736e-06,1e-06,1.4408447601981728e-07,0.0,7.390332196106585e-05,0.0,9.739458833753753e-06,0.0,0.024227509536700876,-0.025772490463299127,0
26.0,272.04611498689627,567.1317901021351,0.00789231209332033,0.018922032817071197,500003000.0,0.0,3.4115366847376394e-06,1e-06,1.3158398839876588e-07,0.0,8.315940176177017e-05,0.0,9.622448856220283e-06,0.0,0.023936439940846474,-0.02606356005915353,0
27.0,272.02005142683714,565.8830531900381,0.007574972827249189,0.018861370004194477,500003000.0,0.0,3.5328034872879073e-06,1e-06,1.2126680255026785e-07,0.0,9.234633427737806e-05,0.0,9.509624346798442e-06,0.0,0.023655781957210055,-0.026344218042789948,0
28.0,271.9937072087944,564.6466311953982,0.007298448189402185,0.01884470218376006,500003000.0,0.0,3.6454869144276867e-06,1e-06,1.1268342713977945e-07,0.0,0.00010146770798750991,0.0,9.409219685962854e-06,0.0,0.023406019119310582,-0.02659398088068942,0
29.0,271.96711322791367,563.4207868569748,0.007057912579724445,0.018866870769883845,500003000.0,0.0,3.7509503871764906e-06,1e-06,1.0546347274880414e-07,0.0,0.0001105312748338056,0.0,9.323246821267928e-06,0.0,0.023192156271810767,-0.026807843728189236,0
30.0,271.9403053841855,562.2038973850083,0.0068477216036807766,0.018921834059241936,500003000.0,0.0,3.850265065239093e-06,1e-06,9.93146780626022e-08,0.0,0.00011954546507038054,0.0,9.250754825555087e-06,0.0,0.023011827924266388,-0.026988172075733615,0
