w_m_per_s,dt_s,r_ice_init_m,status
10.0,20.0,1e-07,FAILED (OverflowError: math range error)
10.0,50.0,1e-07,FAILED (ZeroDivisionError: division by zero)
10.0,100.0,1e-07,FAILED (ZeroDivisionError: division by zero)
